journey_option_flow_id,contextual_hint,step_question,option_text
143,Animado(a) - Explorar,"Para entender o que impulsiona essa energia, você busca um filme que...",...revele a paixão e a persistência por trás de grandes conquistas?
144,Animado(a) - Explorar,"Para entender o que impulsiona essa energia, você busca um filme que...","...mergulhe na mente de gênios e inovadores, e sua busca por novas ideias?"
145,Animado(a) - Explorar,"Para entender o que impulsiona essa energia, você busca um filme que...",...explore o poder da ambição e o caminho para a excelência?
146,Animado(a) - Explorar,"Para entender o que impulsiona essa energia, você busca um filme que...",...inspire a encontrar propósito e a viver com mais intensidade?
65,Animado(a) - Manter,"Para sustentar essa vibe animada, você busca um filme que seja...",...repleto de risadas fáceis e um humor contagiante?
66,Animado(a) - Manter,"Para sustentar essa vibe animada, você busca um filme que seja...",...um clássico 'feel-good' que aqueça o coração e traga bem-estar?
67,Animado(a) - Manter,"Para sustentar essa vibe animada, você busca um filme que seja...",...uma animação vibrante ou um filme divertido para toda a família?
68,Animado(a) - Manter,"Para sustentar essa vibe animada, você busca um filme que seja...","...um romance charmoso e leve, com um final doce e feliz?"""
61,Animado(a) - Processar,"Para amplificar essa energia, você busca um filme que...",...te ofereça pura adrenalina e ação ininterrupta?
62,Animado(a) - Processar,"Para amplificar essa energia, você busca um filme que...",...seja uma explosão de diversão com ritmo vibrante e contagiante?
63,Animado(a) - Processar,"Para amplificar essa energia, você busca um filme que...",...te transporte para uma jornada grandiosa e cheia de mundos a explorar?
64,Animado(a) - Processar,"Para amplificar essa energia, você busca um filme que...",...te inspire com histórias de grande triunfo e superação?
60,Animado(a) - Transformar,"Com essa energia, você quer um filme que te leve para...",...uma ficção científica que desafie a mente e expanda a realidade?
180,Animado(a) - Transformar,"Com essa energia, você quer um filme que te leve para...",...um suspense intrigante ou um mistério cheio de reviravoltas?
181,Animado(a) - Transformar,"Com essa energia, você quer um filme que te leve para...",...um drama profundo e envolvente sobre a condição humana?
182,Animado(a) - Transformar,"Com essa energia, você quer um filme que te leve para...",...um romance intenso e uma jornada emocional marcante?
102,Ansioso(a) - Explorar,"Para investigar as causas e o impacto da ansiedade, você busca um filme que...",...mergulhe na experiência psicológica da ansiedade e seus desafios internos?
103,Ansioso(a) - Explorar,"Para investigar as causas e o impacto da ansiedade, você busca um filme que...",...explore a ansiedade como reflexo de pressões sociais ou sistemas opressores?
104,Ansioso(a) - Explorar,"Para investigar as causas e o impacto da ansiedade, você busca um filme que...",...mostre a jornada de personagens que enfrentam e buscam superar a inquietação?
105,Ansioso(a) - Explorar,"Para investigar as causas e o impacto da ansiedade, você busca um filme que...","...revele a ansiedade diante do desconhecido, de dilemas ou de futuros incertos?"
98,Ansioso(a) - Manter,"Para uma imersão total que te faça esquecer a ansiedade, você busca um filme que...",...te envolva em um suspense psicológico e mistérios intrigantes?
99,Ansioso(a) - Manter,"Para uma imersão total que te faça esquecer a ansiedade, você busca um filme que...",...te transporte para mundos complexos e ideias que desafiam a mente?
100,Ansioso(a) - Manter,"Para uma imersão total que te faça esquecer a ansiedade, você busca um filme que...",...te prenda com um drama intenso e enredos cheios de reviravoltas?
101,Ansioso(a) - Manter,"Para uma imersão total que te faça esquecer a ansiedade, você busca um filme que...",...jogue com a sua percepção e te surpreenda com reviravoltas inesperadas?
118,Ansioso(a) - Processar,"Para compreender e lidar com essa inquietação, você busca um filme que...",...seja leve e divertido para desligar a mente?
119,Ansioso(a) - Processar,"Para compreender e lidar com essa inquietação, você busca um filme que...",...te envolva com visuais tranquilos e uma história sem pressa?
120,Ansioso(a) - Processar,"Para compreender e lidar com essa inquietação, você busca um filme que...",...ofereça um conforto aconchegante e uma sensação familiar?
184,Ansioso(a) - Processar,"Para compreender e lidar com essa inquietação, você busca um filme que...",...te permita escapar completamente da realidade?
90,Ansioso(a) - Transformar,"Para aliviar a ansiedade e mudar o foco, você busca um filme que seja...",...repleto de risadas leves e uma diversão despretensiosa?
91,Ansioso(a) - Transformar,"Para aliviar a ansiedade e mudar o foco, você busca um filme que seja...",...um clássico 'feel-good' que aqueça o coração e traga bem-estar?
92,Ansioso(a) - Transformar,"Para aliviar a ansiedade e mudar o foco, você busca um filme que seja...",...uma animação encantadora ou um filme que te transporte para outro mundo?
93,Ansioso(a) - Transformar,"Para aliviar a ansiedade e mudar o foco, você busca um filme que seja...","...um romance charmoso e leve, com um final doce e feliz?"
74,Calmo(a) - Explorar,"Para investigar a calma e a paz interior, você busca um filme que...","...inspire a viver com mais presença, simplicidade e conexão com a vida?"
75,Calmo(a) - Explorar,"Para investigar a calma e a paz interior, você busca um filme que...",...mostre a jornada de personagens que encontraram a serenidade e o equilíbrio?
76,Calmo(a) - Explorar,"Para investigar a calma e a paz interior, você busca um filme que...",...explore a natureza da paz interior e o equilíbrio da vida de forma profunda?
77,Calmo(a) - Explorar,"Para investigar a calma e a paz interior, você busca um filme que...",...revele as nuances da calma em histórias e ambientes contemplativos?
69,Calmo(a) - Manter,"Para manter essa paz e bem-estar, que filme você busca que seja...",...repleto de leveza e um humor suave para descontrair?
70,Calmo(a) - Manter,"Para manter essa paz e bem-estar, que filme você busca que seja...",...um romance delicado e acolhedor para aquecer o coração?
72,Calmo(a) - Manter,"Para manter essa paz e bem-estar, que filme você busca que seja...",...com uma história simples e visualmente agradável para apenas desfrutar?
73,Calmo(a) - Manter,"Para manter essa paz e bem-estar, que filme você busca que seja...",...um clássico reconfortante ou um passatempo familiar?
78,Calmo(a) - Processar,"Para aprofundar e contemplar essa serenidade, que filme você busca que...",...te envolva em uma atmosfera de reflexão e ritmo calmo?
79,Calmo(a) - Processar,"Para aprofundar e contemplar essa serenidade, que filme você busca que...",...te deslumbre com visuais e cenários espetaculares?
80,Calmo(a) - Processar,"Para aprofundar e contemplar essa serenidade, que filme você busca que...",...explore a beleza da natureza ou da arte de forma serena?
81,Calmo(a) - Processar,"Para aprofundar e contemplar essa serenidade, que filme você busca que...",...mergulhe suavemente na complexidade da vida e das relações humanas?
86,Calmo(a) - Transformar,"Para uma experiência mais intensa e que te tire da rotina, você busca um filme que...""",...te prenda com pura adrenalina e ação ininterrupta?
87,Calmo(a) - Transformar,"Para uma experiência mais intensa e que te tire da rotina, você busca um filme que...""",...te envolva em um suspense psicológico ou um thriller de tirar o fôlego?
88,Calmo(a) - Transformar,"Para uma experiência mais intensa e que te tire da rotina, você busca um filme que...""","...mergulhe em um drama de guerra, um grande evento histórico ou uma luta por justiça impactante?"
89,Calmo(a) - Transformar,"Para uma experiência mais intensa e que te tire da rotina, você busca um filme que...""",...uma jornada de amadurecimento e nostalgia
139,Cansado(a) - Explorar,"Para investigar as causas e nuances da fadiga, mental ou emocional, você busca um filme que...","...revele o esgotamento mental, emocional e o impacto das pressões em diferentes contextos sociais?"
140,Cansado(a) - Explorar,"Para investigar as causas e nuances da fadiga, mental ou emocional, você busca um filme que...",...ofereça caminhos para a resiliência e o reequilíbrio?
141,Cansado(a) - Explorar,"Para investigar as causas e nuances da fadiga, mental ou emocional, você busca um filme que...",...mostre a jornada de autodescoberta e reflexão para lidar com o cansaço?
142,Cansado(a) - Explorar,"Para investigar as causas e nuances da fadiga, mental ou emocional, você busca um filme que...",...explore a desilusão e a busca por sentido em meio à exaustão existencial?
138,Cansado(a) - Manter,"Para um filme que não exija esforço, você busca que ele seja...",...repleto de risadas leves e uma diversão despretensiosa?
147,Cansado(a) - Manter,"Para um filme que não exija esforço, você busca que ele seja...",...um conforto aconchegante e uma sensação familiar?
