id,journeyFlowId,stepId,order,question,createdAt,updatedAt
1,1,1,1,"Para aproveitar essa energia boa, você gostaria de assistir a um filme que seja...",2025-05-08 22:02:54.425,2025-05-08 22:04:52.908
2,2,1,1,"Ótimo! Para manter essa vibe positiva, você gostaria de assistir a um filme que te faça se sentir ainda mais...",2025-05-02 22:50:59.442,2025-05-03 14:25:30.654
3,1,2A,2,Entendi! Você prefere algo com...,2025-05-08 22:25:34.297,2025-05-08 22:24:53.251
4,2,2B,2,Adorável! Você está mais no clima de...,2025-05-02 22:50:59.442,2025-05-03 14:38:43.366
5,2,2C,2,Que energia boa! Você gostaria de algo mais...,2025-05-02 23:38:03.63,2025-05-03 14:38:43.366
6,2,2D,2,Nostalgia! Você tem preferência por filmes de...,2025-05-03 00:04:13.316,2025-05-03 14:38:43.366
7,2,2A,2,Excelente! Você prefere um humor mais...,2025-05-03 00:09:32.951,2025-05-03 14:38:43.366
8,3,1,1,"Para entender melhor, qual dessas sensações se aproxima mais do que você está sentindo ou do que gostaria de explorar ou mudar?",2025-05-05 01:05:52.765,2025-05-22 00:37:55.755
9,3,2A,2,"Para essa sensação de solidão, você busca um filme que explore...?",2025-05-05 23:33:31.195,2025-05-22 01:08:34.08
10,3,2B,2,"Para essa saudade do passado, você prefere um filme que...?",2025-05-05 23:42:35.592,2025-05-22 01:10:06.62
11,3,2C,2,"Para lidar com essa desilusão, você gostaria de um filme que...?",2025-05-05 23:46:12.976,2025-05-22 01:14:08.811
12,3,2D,2,"Para essa sensação de vazio, você busca um filme que...?",2025-05-05 23:47:42.889,2025-05-22 01:16:54.806
13,2,3D,3,"Para melhorar nossa busca, quais das faixas etárias você se encaixa:",2025-05-06 20:10:16.744,2025-05-06 20:09:08.551
14,1,2B,2,Aventura é ótimo! Você está mais no clima de...,2025-05-10 19:41:55.086,2025-05-10 19:41:55.086
17,1,2C,2,Que ótimo para manter o ânimo lá em cima! Você gostaria de ver uma história sobre...,2025-05-10 20:00:43.02,2025-05-10 20:00:43.02
19,1,2D,2,Compartilhar é sempre bom! Você pensou em algo mais...,2025-05-10 20:15:33.786,2025-05-11 13:03:30.81
20,4,1,1,"Que bom que você está se sentindo calmo(a) e relaxado(a)! Para manter essa sensação, você gostaria de assistir a um filme que seja...",2025-05-11 13:12:51.682,2025-05-11 13:12:28.819
21,4,2A,2,"Entendi. Nesse caso, você preferiria algo mais...",2025-05-12 12:48:40.433,2025-05-12 12:47:39.684
22,4,2B,2,"Para essa distração leve, você estaria mais a fim de...",2025-05-12 13:00:34.751,2025-05-12 13:00:09.581
23,4,2C,2,"Compreendo. Para essa sensação de conforto, você se sentiria melhor assistindo a...",2025-05-12 13:08:39.843,2025-05-12 13:07:58.18
24,4,2D,2,Entendi. Você teria preferência por...,2025-05-12 13:26:32.493,2025-05-12 13:26:32.493
26,5,1,1,"Entendo. Quando você se sente cansado(a) ou desmotivado(a), o que você mais procura em um filme?",2025-05-12 20:37:45.338,2025-05-12 20:37:45.338
27,5,2A,2,"Para essa leveza, você preferiria...",2025-05-12 21:50:20.012,2025-05-12 21:50:20.012
28,5,2B,2,"Para se sentir mais inspirado(a), você gostaria de ver uma história sobre...",2025-05-12 21:51:27.601,2025-05-12 21:51:27.601
29,5,2C,2,"Para esse conforto, você se sentiria melhor assistindo a...",2025-05-12 21:52:20.567,2025-05-12 21:52:20.567
30,5,2D,2,"Para essa fuga, qual tipo de mundo te atrairia mais agora?",2025-05-12 21:53:12.819,2025-05-12 21:53:12.819
31,6,1,1,"Entendo. Quando você se sente ansioso(a) ou nervoso(a), você geralmente procura um filme que...",2025-05-13 01:08:03.422,2025-05-13 01:08:03.422
32,6,2A,2,"Para essa distração relaxante, você preferiria algo mais...",2025-05-13 01:15:38.893,2025-05-13 01:15:38.893
33,6,2B,2,"Para te manter totalmente envolvido(a), você se inclina mais para...",2025-05-13 01:16:33.528,2025-05-13 01:16:33.528
34,6,2C,2,"Entendo. Nesse caso, você prefere um suspense que seja mais...",2025-05-13 01:17:28.427,2025-05-13 01:17:28.427
35,6,2D,2,"Compreendo. Para essa sensação de controle e alívio, você gostaria de assistir a um filme que envolva...",2025-05-13 01:18:07.345,2025-05-13 01:18:07.345
36,7,1,1,"Compreendo. Para essa sensação de controle e alívio, você gostaria de assistir a um filme que envolva...",2025-05-13 01:39:48.811,2025-05-13 01:39:48.811
37,7,2A,2,"Nesse caso, você prefere algo mais...",2025-05-13 01:44:51.375,2025-05-13 01:44:51.375
38,7,2B,2,Qual gênero te chama mais atenção hoje?,2025-05-13 01:45:36.223,2025-05-13 01:45:36.223
39,7,2C,2,Entendi. Você tem preferência por...,2025-05-13 01:47:50.318,2025-05-13 01:47:50.318
40,7,2D,2,"Nesse caso, você prefere...",2025-05-13 01:48:36.307,2025-05-13 01:48:36.307
41,3,2E,2,"Para essa necessidade de liberar emoções, você prefere um filme que...?",2025-05-22 01:18:48.311,2025-05-22 01:18:15.038
42,3,2F,2,"Entendi! Para se sentir mais leve e esquecer um pouco, você busca algo que seja...",2025-05-24 00:12:08.494,2025-05-23 21:12:07
